"","sample","all_contig_length"
"1","I_24022450",9999
"2","I_24045948",8282
"3","I_24056278",9293
"4","I_24065221",5861
"5","I_24070307",8543
"6","I_24128094",9032
"7","I_24138188",29602
"8","I_24149460",19310
"9","I_24173894",5095
"10","I_24202644",13204
"11","I_24233946",12325
"12","I_24244983",21936
"13","I_24255041",9539
"14","I_24271723",6950
"15","I_24282162",9559
"16","I_24304381",12391
"17","I_24315928",13053
"18","I_24361809",7287
"19","I_24371847",9117
"20","I_POS",15364
"21","M_24022450",10428
"22","M_24070307",6131
"23","M_24128094",10604
"24","M_24202644",11384
"25","M_24233946",13498
"26","M_24255041",11481
"27","M_24282162",12286
"28","TI_24022450",11443
"29","TI_24045948",7341
"30","TI_24065221",8822
"31","TI_24070307",9763
"32","TI_24128094",9779
"33","TI_24173894",6879
"34","TI_24202644",14201
"35","TI_24233946",10477
"36","TI_24255041",11647
"37","TI_24282162",10398
"38","TI_24304381",10347
"39","TI_24361809",8726
"40","TI_24371847",10805
"41","TI_POS",17838
"42","TP_24022450",11443
"43","TP_24045948",7341
"44","TP_24065221",8822
"45","TP_24070307",9763
"46","TP_24128094",9779
"47","TP_24173894",6879
"48","TP_24202644",14201
"49","TP_24233946",10477
"50","TP_24255041",11647
"51","TP_24282162",10398
"52","TP_24304381",10347
"53","TP_24361809",8726
"54","TP_24371847",10805
"55","TP_POS",17838
